RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	AGE	SOS SEASON	ECR VS. ADP
28	4	Rome Odunze	CHI	WR17	7	22	4 out of 5 stars	1
29	4	Michael Pittman Jr.	IND	WR18	14	26	4 out of 5 stars	1
30	4	DK Metcalf	SEA	WR19	10	26	3 out of 5 stars	6
31	5	Kyren Williams	LAR	RB9	6	24	3 out of 5 stars	-8
32	5	Nico Collins	HOU	WR20	14	25	3 out of 5 stars	-4
33	5	Kenneth Walker III	SEA	RB10	10	23	4 out of 5 stars	5
34	5	Lamar Jackson	BAL	QB3	14	27	4 out of 5 stars	6
35	5	Jalen Hurts	PHI	QB4	5	26	2 out of 5 stars	-4
36	5	Zay Flowers	BAL	WR21	14	23	3 out of 5 stars	1
37	5	C.J. Stroud	HOU	QB5	14	22	2 out of 5 stars	-5
38	5	Trey McBride	ARI	TE2	11	24	5 out of 5 stars	-3
39	5	Rachaad White	TB	RB11	11	25	5 out of 5 stars	3
40	5	Isiah Pacheco	KC	RB12	6	25	3 out of 5 stars	-6
41	5	Jonathon Brooks	CAR	RB13	11	21	4 out of 5 stars	14
42	5	James Cook	BUF	RB14	12	24	2 out of 5 stars	9
43	5	Joe Burrow	CIN	QB6	12	27	2 out of 5 stars	17
44	5	Tee Higgins	CIN	WR22	12	25	2 out of 5 stars	1
45	5	Tank Dell	HOU	WR23	14	24	3 out of 5 stars	-4
46	5	Brock Bowers	LV	TE3	10	21	4 out of 5 stars	2
47	5	Dalton Kincaid	BUF	TE4	12	24	2 out of 5 stars	-4
48	6	Mark Andrews	BAL	TE5	14	28	3 out of 5 stars	-2
49	6	George Pickens	PIT	WR24	9	23	1 out of 5 stars	-5
50	6	Jordan Addison	MIN	WR25	6	22	3 out of 5 stars	9
51	6	Kyle Pitts	ATL	TE6	12	23	3 out of 5 stars	1
52	6	Rashee Rice	KC	WR26	6	24	3 out of 5 stars	10
53	6	Anthony Richardson	IND	QB7	14	22	5 out of 5 stars	0
54	6	Josh Jacobs	GB	RB15	10	26	1 out of 5 stars	-4
55	6	Deebo Samuel Sr.	SF	WR27	9	28	2 out of 5 stars	-6
56	6	Jaxon Smith-Njigba	SEA	WR28	10	22	3 out of 5 stars	5
57	6	Trey Benson	ARI	RB16	11	22	2 out of 5 stars	18
58	6	Caleb Williams	CHI	QB8	7	22	4 out of 5 stars	7
59	6	Kyler Murray	ARI	QB9	11	27	2 out of 5 stars	18
60	7	Jayden Reed	GB	WR29	10	24	4 out of 5 stars	7
61	7	Rhamondre Stevenson	NE	RB17	14	26	2 out of 5 stars	9
62	7	Xavier Worthy	KC	WR30	6	21	3 out of 5 stars	-8
63	7	D'Andre Swift	CHI	RB18	7	25	2 out of 5 stars	3
64	7	Davante Adams	LV	WR31	10	31	3 out of 5 stars	-17
65	7	Travis Kelce	KC	TE7	6	34	3 out of 5 stars	-26
66	7	Jordan Love	GB	QB10	10	25	5 out of 5 stars	3
67	7	T.J. Hockenson	MIN	TE8	6	27	2 out of 5 stars	11
68	7	Brian Thomas Jr.	JAC	WR32	12	21	4 out of 5 stars	3
69	7	Justin Herbert	LAC	QB11	5	26	2 out of 5 stars	27
70	7	Joe Mixon	HOU	RB19	14	28	3 out of 5 stars	-2
