RK	TIERS	PLAYER NAME	TEAM	POS	BYE WEEK	SOS SEASON	ECR VS. ADP
170	8	Derek Carr	NO	QB26	12	4 out of 5 stars	51
171	8	Noah Fant	SEA	TE22	10	3 out of 5 stars	29
172	8	Xavier Legette	CAR	WR71	11	5 out of 5 stars	-8
173	8	Wan'Dale Robinson	NYG	WR72	11	3 out of 5 stars	58
174	8	Bucky Irving	TB	RB54	11	5 out of 5 stars	31
175	9	Kendre Miller	NO	RB55	12	5 out of 5 stars	10
176	9	Roschon Johnson	CHI	RB56	7	2 out of 5 stars	47
177	9	Bryce Young	CAR	QB27	11	5 out of 5 stars	42
178	9	Braelon Allen	NYJ	RB57	12	2 out of 5 stars	25
179	9	Isaiah Likely	BAL	TE23	14	3 out of 5 stars	1
180	9	Ben Sinnott	WAS	TE24	14	2 out of 5 stars	13
181	9	Elijah Mitchell	SF	RB58	9	2 out of 5 stars	1
182	9	Demarcus Robinson	LAR	WR73	6	3 out of 5 stars	68
183	9	Juwan Johnson	NO	TE25	12	4 out of 5 stars	71
184	9	Marvin Mims Jr.	DEN	WR74	14	2 out of 5 stars	49
185	9	Ricky Pearsall	SF	WR75	9	2 out of 5 stars	-1
186	9	Sam Darnold	MIN	QB28	6	5 out of 5 stars	43
187	9	Bo Nix	DEN	QB29	14	2 out of 5 stars	-11
188	9	Dameon Pierce	HOU	RB59	14	3 out of 5 stars	-1
189	9	Baltimore Ravens	BAL	DST1	14	2 out of 5 stars	-51
190	9	Chigoziem Okonkwo	TEN	TE26	5	4 out of 5 stars	5
191	9	Quentin Johnston	LAC	WR76	5	3 out of 5 stars	19
192	9	San Francisco 49ers	SF	DST2	9	1 out of 5 stars	-67
193	9	New York Jets	NYJ	DST3	12	1 out of 5 stars	-64
194	9	Cleveland Browns	CLE	DST4	10	2 out of 5 stars	-40
195	9	Russell Wilson	PIT	QB30	9	2 out of 5 stars	-7
196	9	Darius Slayton	NYG	WR77	11	3 out of 5 stars	93
197	9	Dallas Cowboys	DAL	DST5	7	4 out of 5 stars	-58
198	9	Jermaine Burton	CIN	WR78	12	2 out of 5 stars	20
199	9	Tank Bigsby	JAC	RB60	12	2 out of 5 stars	36
200	9	Justin Tucker	BAL	K1	14	2 out of 5 stars	-82
201	9	Pittsburgh Steelers	PIT	DST6	9	4 out of 5 stars	-28
202	9	Kansas City Chiefs	KC	DST7	6	2 out of 5 stars	-28
203	9	Brandon Aubrey	DAL	K2	7	2 out of 5 stars	-84
204	9	Justice Hill	BAL	RB61	14	3 out of 5 stars	42
205	9	Jalin Hyatt	NYG	WR79	11	3 out of 5 stars	81
206	9	Audric Estime	DEN	RB62	14	4 out of 5 stars	21
207	9	Alexander Mattison	LV	RB63	10	3 out of 5 stars	23
