"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"450",15,"Deion Burks",IND,"WR152","13","-","-","4 out of 5 stars","+65"
"451",15,"AJ Dillon",CAR,"RB126","5","-","-","1 out of 5 stars","-53"
"452",15,"Ameer Abdullah",JAC,"RB127","7","-","-","4 out of 5 stars","-"
"453",15,"Marquez Valdes-Scantling",FA,"WR153","-","-","-","-","+137"
"454",15,"Josh Williams",TB,"RB128","10","-","-","2 out of 5 stars","-76"
"455",15,"Jacob Cowing",SF,"WR154","8","-","-","2 out of 5 stars","+219"
"456",15,"Arizona Cardinals",ARI,"DST32","14","-","-","2 out of 5 stars","-154"
"457",15,"Jahdae Walker",CHI,"WR155","10","-","-","3 out of 5 stars","-18"
"458",15,"Jalen Reagor",FA,"WR156","-","-","-","-","-"
"459",15,"Tommy Myers",FA,"TE65","-","-","-","-","-"
"460",15,"Chris Blair",ATL,"WR157","11","-","-","3 out of 5 stars","-"
"461",15,"Antonio Gibson",FA,"RB129","-","-","-","-","+148"
"462",15,"Dominic Zvada",NYG,"K33","8","-","-","2 out of 5 stars","-101"
"463",15,"Tyler Badie",DEN,"RB130","10","-","-","2 out of 5 stars","-"
"464",15,"Max Bredeson",MIN,"RB131","6","-","-","4 out of 5 stars","+182"
"465",15,"Reggie Gilliam",NE,"RB132","11","-","-","2 out of 5 stars","+81"
"466",15,"Tanner Koziol",JAC,"TE66","7","-","-","3 out of 5 stars","+107"
"467",15,"Elijah Moore",PHI,"WR158","10","-","-","4 out of 5 stars","+45"
"468",15,"Jordan Watkins",SF,"WR159","8","-","-","2 out of 5 stars","-"
"469",15,"Kene Nwangwu",NYJ,"RB133","13","-","-","3 out of 5 stars","-"
"470",15,"Jaydn Ott",KC,"RB134","5","-","-","3 out of 5 stars","-"
"471",15,"Xavier Restrepo",TEN,"WR160","9","-","-","3 out of 5 stars","-"
"472",15,"Riley Leonard",IND,"QB47","13","-","-","4 out of 5 stars","+156"
"473",15,"Damien Martinez",FA,"RB135","-","-","-","-","-"
"474",15,"Kalel Mullings",TEN,"RB136","9","-","-","3 out of 5 stars","-"
"475",15,"Jackson Hawes",BUF,"TE67","7","-","-","3 out of 5 stars","-51"
"476",15,"Adam Trautman",DEN,"TE68","10","-","-","4 out of 5 stars","-57"
"477",15,"Miles Sanders",FA,"RB137","-","-","-","-","-"
"478",15,"Gardner Minshew II",ARI,"QB48","14","-","-","2 out of 5 stars","-48"
"479",15,"Isaiah Williams",FA,"WR161","-","-","-","-","-"
"480",15,"Taylen Green",CLE,"QB49","11","-","-","4 out of 5 stars","-"
"481",15,"Julius Chestnut",TEN,"RB138","9","-","-","3 out of 5 stars","-"
"482",15,"Xavier Smith",LAR,"WR162","11","-","-","1 out of 5 stars","-9"
"483",15,"Theo Wease Jr.",LAC,"WR163","7","-","-","2 out of 5 stars","-"
"484",15,"Zach Ertz",FA,"TE69","-","-","-","-","+113"
"485",15,"Josh Oliver",MIN,"TE70","6","-","-","4 out of 5 stars","-120"
"486",15,"Jason Sanders",FA,"K34","-","-","-","-","-183"
"487",15,"Jake Browning",FA,"QB50","-","-","-","-","+46"
"488",15,"Tyson Bagent",CHI,"QB51","10","-","-","3 out of 5 stars","+15"
"489",15,"Brandin Cooks",FA,"WR164","-","-","-","-","-"
"490",15,"Scotty Miller",CHI,"WR165","10","-","-","3 out of 5 stars","-"
"491",15,"Josh Cameron",JAC,"WR166","7","-","-","4 out of 5 stars","-69"
"492",15,"Patrick Ricard",NYG,"RB139","8","-","-","4 out of 5 stars","+55"
"493",15,"Reggie Virgil",ARI,"WR167","14","-","-","2 out of 5 stars","+197"
"494",15,"Drew Allar",PIT,"QB52","9","-","-","2 out of 5 stars","-165"
"495",16,"Tyrod Taylor",GB,"QB53","11","-","-","4 out of 5 stars","-156"
"496",16,"Davis Mills",HOU,"QB54","8","-","-","4 out of 5 stars","+28"
"497",16,"Nate Boerkircher",JAC,"TE71","7","-","-","3 out of 5 stars","-64"
"498",16,"Juice Wells Jr.",FA,"WR168","-","-","-","-","-"
"499",16,"Jalen Milroe",SEA,"QB55","11","-","-","4 out of 5 stars","+67"
"500",16,"Tyler Lockett",LV,"WR169","13","-","-","2 out of 5 stars","-"
"501",16,"Michael Woods II",DEN,"WR170","10","-","-","2 out of 5 stars","-"
"502",16,"Alec Ingold",LAC,"RB140","7","-","-","3 out of 5 stars","+165"
"503",16,"Quinn Ewers",JAC,"QB56","7","-","-","4 out of 5 stars","-152"
"504",16,"Luke Schoonmaker",DAL,"TE72","14","-","-","2 out of 5 stars","-134"
