Rank	Overall	Team	Pos	Bye	Best	Worst	Avg	Std Dev	ADP	vs. ADP
354	Dustin Hopkins	WAS	K28	10	216	342	315.8	17.5	306	-48
355	J'Mon Moore	GB	WR121	11	250	383	311.1	33.6	858	503
356	C.J. Uzomah	CIN	TE46	9	154	375	294.6	44.9	350	-6
357	Myles Gaskin	MIA	RB96	5	283	404	338.2	28.2	364	7
358	Jay Ajayi	FA	RB97		117	371	279.7	53.7	255	-103
359	Josh Oliver	JAC	TE47	10	183	406	300.3	57.3	363	4
360	Tim Patrick	DEN	WR122	10	212	382	322	46.8	476	116
361	Tyler Higbee	LAR	TE48	9	209	361	303.2	38.1	373	12
362	Alfred Morris	DAL	RB98	8	187	542	291.6	80.3	226	-136
363	Jesse James	DET	TE49	5	189	362	289	49.7	276	-87
364	Brian Hill	ATL	RB99	9	171	481	286.5	75.6	351	-13
365	Trayveon Williams	CIN	RB100	9	231	413	331.5	43.6	307	-58
366	Zach Zenner	DET	RB101	5	205	387	326.4	28.4	428	62
367	Jakobi Meyers	NE	WR123	10	112	696	293.6	123.1	285	-82
368	Michael Crabtree	FA	WR124		210	367	263.7	39.9	369	1
369	Dontrell Hilliard	CLE	RB102	7	205	381	282.6	47.1	337	-32
370	Jeff Wilson	SF	RB103	4	255	502	335.2	49.1	490	120
371	Dawson Knox	BUF	TE50	6	157	400	306.8	44.1	383	12
372	Andre Ellington	TB	RB104	7	248	405	307.3	47.6	1,023.00	651
373	Jaron Brown	SEA	WR125	11	194	410	310.8	49.5	426	53
374	Adam Shaheen	CHI	TE51	6	179	367	314.1	41.2	430	56
375	Kelvin Harmon	WAS	WR126	10	226	393	317.7	39.7	317	-58
376	Chandler Catanzaro	FA	K29		213	341	309.7	21.2	339	-37
377	Chester Rogers	IND	WR127	6	222	396	318.7	36.3	446	69
378	Gary Jennings	SEA	WR128	11	176	379	320.3	50.1	478	100
379	Dontrelle Inman	NE	WR129	10	156	391	314.5	46.5	727	348
380	Darren Sproles	PHI	RB105	10	222	432	312.9	59.1	288	-92
381	Bryce Love	WAS	RB106	10	156	391	322.5	49.1	318	-63
382	Luke Willson	OAK	TE52	6	191	356	304.7	28.2	743	361
383	Laquon Treadwell	MIN	WR130	12	265	398	323.7	35.6	434	51
