Rank	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
234	Deon Cain	IND	WR97	6	23	182	289	235.1	27.9
235	KeeSean Johnson	ARI	WR98	12	22	128	278	198	35.8
236	Riley Ridley	CHI	WR99	6	22	160	336	239.6	47.6
237	Josh Oliver	JAC	TE31	10	22	98	311	230.1	41.2
238	Willie Snead	BAL	WR100	8	26	160	274	230.7	31.5
239	Taylor Gabriel	CHI	WR101	6	28	128	274	231	16.9
240	Darren Waller	OAK	TE32	6	26	124	264	205.3	42.9
241	Drew Lock	DEN	QB32	10	22	132	303	242.4	32.8
242	Josh Adams	PHI	RB77	10	22	144	364	246.6	55.4
243	Phillip Dorsett	NE	WR102	10	26	189	287	243.4	22.9
244	Tyler Eifert	CIN	TE33	9	28	176	347	243.9	44.9
245	Jordan Wilkins	IND	RB78	6	25	171	358	247.2	40.6
246	Paul Richardson	WAS	WR103	10	27	149	268	240.8	21.3
247	Dexter Williams	GB	RB79	11		139	297	242.2	37.6
248	Trayveon Williams	CIN	RB80	9	21	178	284	230.8	29.4
249	Gary Jennings	SEA	WR104	11	22	141	350	244.9	56.3
250	Dawson Knox	BUF	TE34	6	22	102	341	247.5	44.7
251	Keelan Cole	JAC	WR105	10	26	188	305	248	27.1
252	Jacoby Brissett	IND	QB33	6	26	135	267	225.2	44.3
253	Ricky Seals-Jones	ARI	TE35	12	24	167	387	242.4	53.2
254	Joe Flacco	DEN	QB34	10	34	137	303	261.7	31.9
255	Jay Ajayi	FA	RB81		26	121	333	239.1	45.7
256	Ted Ginn	NO	WR106	9	34	203	284	254.8	19.7
257	Demaryius Thomas	NE	WR107	10	31	178	308	256.9	32.1
258	Kenneth Dixon	BAL	RB82	8	25	167	357	258.4	44.4
259	Jakobi Meyers	NE	WR108	10		96	335	235.1	50.7
260	Ty Montgomery	NYJ	RB83	4	26	195	372	262.9	41.9
261	Chicago (CHI)		DST1	6		139	306	222.6	40.9
262	Demarcus Robinson	KC	WR109	12	24	173	311	256.5	42.5
263	Cameron Brate	TB	TE36	7	28	192	350	264	34.5
264	Chris Hogan	CAR	WR110	7	31	214	308	266.8	25.7
265	Jacksonville (JAC)		DST2	10		151	309	224.3	41.8
266	Justin Tucker	BAL	K1	8	29	176	246	225.3	19.9
267	Doug Baldwin	FA	WR111		30	75	290	230.6	34.4
268	Rob Gronkowski	FA	TE37		30	90	314	180.5	68
269	Michael Crabtree	ARI	WR112	12	31	174	318	264.4	43
270	Hunter Renfrow	OAK	WR113	6	23	190	328	268	32.9
271	John Kelly	LAR	RB84	9	22	210	371	286.1	37.8
272	Minnesota (MIN)		DST3	12		144	262	229	28.6
273	Teddy Bridgewater	NO	QB35	9	26	133	308	267.1	25
274	Eli Manning	NYG	QB36	11	38	150	317	282.5	24.8
275	Ryan Fitzpatrick	MIA	QB37	5	36	145	306	271.9	22.2
276	Breshad Perriman	TB	WR114	7	25	177	295	246.6	34.7
277	Ryan Tannehill	TEN	QB38	11	31	222	338	289.4	31.1
278	Chris Conley	JAC	WR115	10	26	218	305	266.9	25.4
279	Kahale Warring	HOU	TE38	10	22	207	339	281.1	45.1
280	Theo Riddick	DEN	RB85	10	28	155	373	284.1	40.6
281	Keith Kirkwood	NO	WR116	9	25	220	312	272.8	20.9
282	Stephen Gostkowski	NE	K2	10	35	186	310	257.7	23.7
283	Justin Watson	TB	WR117	7	24	191	312	241.5	38
284	Corey Clement	PHI	RB86	10	24	209	361	290.9	34
285	Spencer Ware	IND	RB87	6	27	199	338	282.3	29
286	Isaiah Crowell	OAK	RB88	6	26	132	376	294.1	40
