Rank	Player	Team	Pos	Bye	Best	Worst	Avg	Std Dev
287	Bucky Hodges	MIN	TE40	9	201	275	234.8	20.7
288	Maxx Williams	BAL	TE41	10	217	259	236	15
289	Brian Hill	ATL	RB87	5	234	250	239.3	7.5
290	Josh Malone	CIN	WR110	6	216	263	239.5	23.5
291	Mike Glennon	CHI	QB33	9	229	250	240	8.6
292	Elijah McGuire	NYJ	RB88	11	235	250	240.3	6.8
293	Graham Gano	CAR	K7	11	234	247	240.5	6.5
294	Kamar Aiken	IND	WR111	11	236	247	241	4.2
295	Pharoh Cooper	LAR	WR112	8	212	296	242.5	32.2
296	Brandon McManus	DEN	K8	5	243	243	243	0
297	Rico Gathers	DAL	TE42	6	235	262	244	12.7
298	Zach Zenner	DET	RB89	7	227	277	244.2	16.3
299	Trevor Siemian	DEN	QB34	5	237	249	244.7	5.4
300	Brian Hoyer	SF	QB35	11	207	304	245	36.1
301	Chris Carson	SEA	RB90	6	237	259	245	9.9
302	Tim Hightower	SF	RB91	11	216	294	246.8	28.8
303	Jordan Leggett	NYJ	TE43	11	235	287	248.2	19.6
304	Bruce Ellington	HOU	WR113	7	230	289	248.8	23.6
305	Dontrelle Inman	LAC	WR114	9	234	266	250	15
306	Clive Walford	OAK	TE44	10	231	270	250.5	19.5
307	Charcandrick West	KC	RB92	10	240	279	254.7	17.3
308	Charone Peake	NYJ	WR115	11	211	309	260	49
309	Sammie Coates	PIT	WR116	9	237	284	260.5	23.5
310	Andre Ellington	ARI	RB93	8	256	269	262.5	6.5
311	Isaiah Ford MIA 	WR117	11	243	283	263	20	
312	Geronimo Allison	GB	WR118	8	241	286	263.5	22.5
313	Jeremy Kerley	SF	WR119	11	235	298	266.5	31.5
314	Terrance Williams	DAL	WR120	6	255	281	268	13
315	Markus Wheaton	CHI	WR121	9	254	316	285	31
316	Brandon LaFell	CIN	WR122	6	270	314	292	22
