Rank	Tier	WSID	Overall	Team	Pos	Bye	Age	Best	Worst	Avg	Std Dev
386	undefined		Chris Boswell	PIT	K14	8	29	228	336	271.7	46.4
387	undefined		Cameron Brate	TB	TE57	13	29	274	405	325.8	42.2
388	undefined		James Robinson	JAC	RB115	7	22	251	318	276.3	29.7
389	undefined		Brett Maher	FA	K15		30	239	339	276.7	44.4
390	undefined		Tennessee (TEN)		DST21	7		266	304	283	15.8
391	undefined		Green Bay (GB)		DST22	5		266	307	284	17.1
392	undefined		Kyle Allen	WAS	QB45	8	24	202	448	327	87
393	undefined		Frank Gore	NYJ	RB116	11	37	274	354	317.3	29.4
394	undefined		Isaiah Coulter	HOU	WR139	8	21	256	312	289.3	24.1
395	undefined		Atlanta (ATL)		DST23	10		278	314	290	17
396	undefined		Brandon McManus	DEN	K16	8	29	253	337	290.3	34.9
397	undefined		Quez Watkins	PHI	WR140	9	22	281	326	298.3	19.8
398	undefined		Jason Myers	SEA	K17	6	29	276	335	299.7	25.5
399	undefined		John Kelly	LAR	RB117	9	23	266	326	301	25.5
400	undefined		Arizona (ARI)		DST24	8		303	309	305	2.8
401	undefined		Stephen Hauschka	FA	K18		35	287	343	305.7	26.4
402	undefined		Jake Fromm	BUF	QB46	11	22	287	332	306.7	18.8
403	undefined		Dontrell Hilliard	CLE	RB118	9	25	280	334	310	22.4
404	undefined		Josh Lambo	JAC	K19	7	29	292	338	310	20.1
405	undefined		Adam Vinatieri	FA	K20		47	253	276	264.5	11.5
406	undefined		Indianapolis (IND)		DST25	7		293	323	311.3	13.1
407	undefined		Michael Warren II	PHI	RB119	9		282	385	336	48.7
408	undefined		James Proche	BAL	WR141	8	23	266	269	267.5	1.5
409	undefined		Detroit (DET)		DST26	5		313	314	313.7	0.5
410	undefined		Daniel Carlson	LV	K21	6	25	308	347	321.3	18.2
411	undefined		Randy Bullock	CIN	K22	9	30	308	348	321.7	18.6
412	undefined		Trent Taylor	SF	WR142	11	26	259	417	326	66.7
413	undefined		Zane Gonzalez	ARI	K23	8	25	322	324	323.3	0.9
414	undefined		Collin Johnson	JAC	WR143	7	22	230	336	283	53
415	undefined		Matt Bryant	FA	K24		45	281	288	284.5	3.5
416	undefined		Ricky Seals-Jones	KC	TE58	10	25	283	390	324.7	46.8
417	undefined		Logan Thomas	WAS	TE59	8	29	254	319	286.5	32.5
418	undefined		Darnell Mooney	CHI	WR144	11	22	280	295	287.5	7.5
419	undefined		Equanimeous St. Brown	GB	WR145	5	23	284	298	291	7
420	undefined		Paul Richardson Jr.	SEA	WR146	6	28	285	297	291	6
421	undefined		Ryan Succop	TB	K25	13	33	292	300	296	4
422	undefined		Hunter Bryant	DET	TE60	5		211	385	298	87
423	undefined		Isaiah Hodgins	BUF	WR147	11	21	273	324	298.5	25.5
424	undefined		Chandler Catanzaro	FA	K26		29	329	342	334.3	5.6
425	undefined		Elijah McGuire	KC	RB120	10	26	270	411	337.7	57.7
426	undefined		Aldrick Rosas	FA	K27		25	302	302	302	0
427	undefined		Kenneth Dixon	FA	RB121		26	271	337	304	33
428	undefined		Nick Mullens	SF	QB47	11	25	282	421	343.7	57.8
429	undefined		Tampa Bay (TB)		DST27	13		294	318	306	12
430	undefined		Josh Rosen	MIA	QB48	11	23	335	344	339	3.7
431	undefined		Josh Adams	NYJ	RB122	11	23	273	340	306.5	33.5
432	undefined		Theo Riddick	LV	RB123	6	29	282	338	310	28
433	undefined		Jauan Jennings	SF	WR148	11	23	278	345	311.5	33.5
434	undefined		Washington (WAS)		DST28	8		300	330	315	15
435	undefined		Cincinnati (CIN)		DST29	9		310	322	316	6
436	undefined		Kerrith Whyte Jr.	PIT	RB124	8	23	330	367	346.7	15.3
437	undefined		New York (NYG)		DST30	11		316	327	321.5	5.5
438	undefined		Cairo Santos	CHI	K28	11	28	323	326	324.5	1.5
439	undefined		K.J. Osborn	MIN	WR149	7	23	301	352	326.5	25.5
440	undefined		Isaiah Ford	MIA	WR150	11	24	271	383	327	56
441	undefined		Richie James	SF	WR151	11	25	290	368	329	39
442	undefined		Raymond Calais	TB	RB125	13	22	296	379	337.5	41.5
443	undefined		Colby Parkinson	SEA	TE61	6	21	308	378	343	35
444	undefined		Byron Pringle	KC	WR152	10	26	287	420	353.5	66.5
445	undefined		K.J. Hill	LAC	WR153	10	22	331	363	347	16
446	undefined		Isaiah Crowell	FA	RB126		27	292	426	359	67
447	undefined		Josiah Deguara	GB	TE62	5	23	294	410	352	58
448	undefined		Stephen Sullivan	SEA	TE63	6	23	311	389	350	39
449	undefined		Demaryius Thomas	FA	WR154		32	298	413	355.5	57.5
450	undefined		Laquon Treadwell	ATL	WR155	10	25	313	398	355.5	42.5
451	undefined		Jeremy Sprinkle	WAS	TE64	8	26	322	396	359	37
452	undefined		Mo Alie-Cox	IND	TE65	7	26	337	381	359	22
453	undefined		Allen Hurns	MIA 	WR156	11	28	314	432	373	59
454	undefined		Vyncint Smith	NYJ	WR157	11	24	354	375	364.5	10.5
455	undefined		Phillip Walker	CAR	QB49	13	25	324	446	385	61
456	undefined		Tim Patrick	DEN	WR158	8	26	361	373	367	6
457	undefined		Marcus Johnson	IND	WR159	7	26	367	369	368	1
458	undefined		Mason Rudolph	PIT	QB50	8	25	332	454	393	61
459	undefined		Corey Clement	PHI	RB127	9	25	335	438	386.5	51.5
460	undefined		James Morgan	NYJ	QB51	11	23	335	455	395	60
461	undefined		Cole McDonald	FA	QB52		22	346	456	401	55
462	undefined		Javon Wims	CHI	WR160	11	25	356	437	396.5	40.5
463	undefined		Jordan Thomas	HOU	TE66	8	24	379	400	389.5	10.5
464	undefined		Jordan Scarlett	FA	RB128		24	384	414	399	15
465	undefined		Darius Anderson	DAL	RB129	10	22	387	443	415	28
466	undefined		Robert Griffin	BAL	QB53	8	30	399	402	400.5	1.5
